id,year,crop_production_index_chn,crop_production_index_ind,arable_land_chn,arable_land_ind,fertilizer_consumption_chn,fertilizer_consumption_ind,total_pop_chn,total_pop_ind
1,1961,15.06,26.03,10.97085318,52.40364726,193.6170213,153.9834046,667070000,450547675
2,1962,15.85,25.55,10.93934024,52.7043344,175.1504425,160.0741963,660330000,459642166
3,1963,16.06,26.26,10.91843772,52.9633155,160.2827763,166.3954086,665770000,469077191
4,1964,16.74,27.05,10.8974291,53.05143634,141.3996627,206.6109077,682335000,478825602
5,1965,18.11,25.47,10.87122137,53.21422445,136.4064955,219.9675347,698355000,488848139
6,1966,19.49,25.21,10.82273176,53.34001527,142.7091328,242.0497031,715185000,499123328
7,1967,19.67,27.12,10.77105903,53.74025878,146.4964693,252.4192226,735400000,509631509
8,1968,19.58,28.72,10.71938629,53.83746077,200.5952381,226.835867,754550000,520400577
9,1969,19.97,29.81,10.67004785,53.80618124,174.7484909,207.6915016,774510000,531513834
10,1970,21.34,31.91,10.61752629,54.00260326,167.2485769,212.7663587,796025000,543084333
11,1971,21.98,32.05,10.57158318,53.73218664,141.8577198,214.3444937,818315000,555189797
12,1972,21.3,30.25,10.52235084,53.87681245,132.6390293,199.8772386,841105000,567868021
13,1973,23.96,32.97,10.47216357,54.16539138,132.5612014,206.5264843,862030000,581087255
14,1974,23.93,31.24,10.53168801,54.31909834,124.6523586,169.5414416,881940000,594770136
15,1975,24.45,35.28,10.37551368,54.43244461,123.075265,191.1582864,900350000,608802595
16,1976,24.23,34.51,10.35602585,54.50610287,115.9263272,145.6002045,916395000,623102900
17,1977,24.86,37.51,10.3364429,54.50677555,120.9228121,160.3149724,930685000,637630085
18,1978,27.35,39.09,10.3155757,54.90365567,120.2435649,173.0522766,943455000,652408766
19,1979,27.81,36.29,10.30088024,54.97260518,119.1258025,175.4767214,956165000,667499815
20,1980,27.29,37.47,10.2867153,54.77416512,121.0048292,183.0532028,969005000,682995348
21,1981,28.41,40.39,10.35037794,54.79367279,118.6384278,148.0293889,981235000,698952837
22,1982,30.87,39.35,10.87040713,54.90601004,122.6189319,132.3514811,993885000,715384997
23,1983,32.88,44.8,11.4646985,54.73313175,129.6256618,145.0326086,1008630000,732239498
24,1984,34.81,45.04,12.17485599,55.03112818,131.860216,152.2496671,1023310000,749428958
25,1985,34.5,45.69,12.82113857,55.00489373,125.165702,150.1416794,1036825000,766833411
26,1986,35.48,45.79,12.8619888,54.96083331,121.1980438,135.5644178,1051040000,784360012
27,1987,37.12,45.04,12.82941472,54.89222014,132.9475541,116.2623306,1066790000,801975250
28,1988,37.2,50.36,12.90145968,54.77887387,142.4683943,119.2327591,1084035000,819682095
29,1989,38.17,53.43,13.03875892,54.98336803,138.5053434,132.1186771,1101630000,837468938
30,1990,40.63,53.66,13.20799561,54.97765027,142.3656531,132.5024934,1118650000,855334675
31,1991,40.8,54.59,13.32089081,54.88448434,147.9987625,128.7514621,1135185000,873277799
32,1992,42.73,56.72,13.11048557,54.72438694,140.7079893,124.3916894,1150780000,891273202
33,1993,46.01,58.44,12.94008172,54.68402625,126.0815388,135.2755684,1164970000,909307018
34,1994,46.62,60.17,12.8761007,54.66350956,134.7472655,129.2829378,1178440000,927403866
35,1995,49.81,61.2,12.75730207,54.45699737,140.3593068,122.3239122,1191835000,945601828
36,1996,54.11,63.47,12.73163843,54.15900094,132.8667244,128.1567469,1204855000,963922586
37,1997,55.28,65.39,12.6989849,54.35273225,132.9052679,122.9849385,1217550000,982365248
38,1998,56.98,66.06,12.69784428,54.28815515,125.9136913,122.8659943,1230075000,1000900028
39,1999,59.43,69.23,12.69744639,54.14218398,123.6014028,126.0896844,1241935000,1019483586
40,2000,62.83,68.05,12.69706198,54.12704873,119.973872,113.6874603,1252735000,1038058154
41,2001,63.75,69.82,12.75985887,53.92356358,118.1251874,118.5945931,1262645000,1056575548
42,2002,66.88,62.69,12.8014352,53.95955186,126.6701112,113.401275,1271850000,1075000094
43,2003,66.71,70.57,12.82115475,53.74664922,113.226742,119.9610551,1280400000,1093317187
44,2004,70.75,68.09,12.84087253,53.70696121,110.5425193,121.4863244,1288400000,1111523146
45,2005,73.09,71.92,12.86695861,53.62724885,115.1901283,132.8960089,1296075000,1129623466
46,2006,74.41,75.6,12.90301725,53.36423168,110.0648576,152.5510538,1303720000,1147609924
47,2007,76.91,82.51,12.89663449,53.14897467,101.1641082,172.230339,1311020000,1165486291
48,2008,81.8,83.69,12.92261352,53.13989352,98.62253482,188.9650179,1317885000,1183209471
49,2009,83.83,80.18,12.94296832,53.11601344,96.10347307,181.2310086,1324655000,1200669762
50,2010,86.48,87.25,12.87784131,52.80826318,93.46277879,171.4917641,1331260000,1217726217
51,2011,90.81,93.39,12.80041683,52.79817301,93.93290098,171.1962371,1337705000,1234281163
52,2012,93.16,95.2,12.72820233,52.65253818,94.40959204,159.5402789,1345035000,1250287939
53,2013,95.48,99.43,12.70719317,52.61755892,93.1572224,149.517842,1354190000,1265780243
54,2014,97.11,100.97,12.69589308,52.62462204,87.88456374,154.5461136,1363240000,1280842119
55,2015,101.62,97.79,12.68935693,52.60780508,85.21471406,149.4416731,1371860000,1295600768
56,2016,101.27,101.24,12.68081675,52.57551653,87.36005598,144.72852,1379860000,1310152392
57,2017,103.38,107.87,12.67701782,52.43362718,95.05658493,146.530556,1387790000,1324517250
58,2018,104.02,113.43,12.67676035,52.29329811,96.20099744,152.7011876,1396215000,1338676779
59,2019,105.22,113.23,12.67670729,52.25669278,91.53267691,156.483317,1402760000,1352642283
60,2020,106.07,116.04,12.67659058,52.25669278,89.03448224,176.0422472,1407745000,1366417756